A,B,C,D,E,score
0.37872535,0.9618959,0.9127522,0.30124825,0.7183126,66.53048
0.58775514,0.038971364,0.5854706,0.56024987,0.6180384,71.277374
0.8056731,0.479257,0.88488597,0.29047358,0.2155174,69.13837
0.44760835,0.9099887,0.3273142,0.44537777,0.911722,71.65643
0.15086752,0.85436475,0.53114825,0.07630539,0.41193348,67.58238
0.7072609,0.53877425,0.11363834,0.046333253,0.19812357,71.056946
0.2929892,0.40441412,0.62041336,0.22298819,0.022341609,68.3573
0.9902179,0.27182704,0.9264589,0.5989609,0.2785586,69.226685
0.78297687,0.1587652,0.1522153,0.85468286,0.30810076,78.340034
0.80423087,0.5314324,0.4657939,0.1633349,0.38555664,72.338806
0.31968856,0.4808765,0.74082893,0.7626119,0.57532436,72.6368
0.25711578,0.5916649,0.024940372,0.027999282,0.98697734,66.22257
0.95366025,0.31472582,0.84177727,0.24919945,0.3455968,68.80362
0.629376,0.26395082,0.9307808,0.14387381,0.7806521,66.061806
0.75492525,0.8054103,0.6743013,0.18089217,0.14395565,69.46672
0.35505784,0.26807314,0.65952986,0.07246357,0.15304255,68.03363
0.13311553,0.2563138,0.3894142,0.85302895,0.32564414,72.39145
0.62004846,0.60868615,0.25902814,0.2365542,0.89529914,71.34825
0.83864343,0.6248803,0.6404011,0.7622532,0.5322276,77.68001
0.9973601,0.99435335,0.92137814,0.94746655,0.2497803,69.29123
0.45474893,0.2623921,0.12522906,0.36657983,0.769096,72.859344
0.43620884,0.68066883,0.2850539,0.22438902,0.77984864,71.43335
0.7948205,0.44660306,0.6073925,0.50087047,0.7394926,74.691605
0.77378523,0.9463359,0.5706776,0.068844736,0.8333409,67.773544
0.67402786,0.48523134,0.83300567,0.5364958,0.1964814,72.06398
0.9698208,0.022482634,0.63191664,0.64831465,0.39452952,71.89003
0.7343358,0.5438039,0.3908831,0.24218285,0.57466155,74.62216
0.514117,0.5594099,0.29241616,0.8061846,0.68583053,82.25442
0.8066152,0.30061084,0.16259032,0.090182364,0.3039509,70.925415
0.73254454,0.66000473,0.70606333,0.37449342,0.9797548,70.08588
0.6084682,0.8687537,0.7447913,0.13793921,0.093101144,68.813484
0.03137946,0.9274246,0.9594514,0.7492711,0.51634794,66.90686
0.027280748,0.98009914,0.5575073,0.40076542,0.70866853,67.96218
0.20854878,0.7935838,0.3438856,0.41947943,0.93158686,69.43451
0.08369833,0.2760526,0.82979006,0.06552577,0.35491455,65.01159
0.62201643,0.0067890882,0.0053589344,0.29761875,0.45908976,70.10245
0.24126554,0.50137043,0.75761604,0.100711405,0.17514008,67.28616
0.45932,0.42107016,0.348144,0.7408457,0.989337,73.79327
0.86503017,0.8236086,0.13025111,0.9878648,0.46005,82.392624
0.8450094,0.41806436,0.9101613,0.29555142,0.2889722,68.7032
0.023632526,0.9969858,0.2130763,0.62996936,0.19313413,70.135086
0.50101703,0.11728364,0.1967302,0.64581954,0.30016947,76.250565
0.8600356,0.7580005,0.76734966,0.040844798,0.654739,67.45151
0.6908755,0.38179195,0.6153747,0.8320623,0.21210003,77.48371
0.8807518,0.6630824,0.66740483,0.83612484,0.8000463,74.56418
0.1075449,0.10343373,0.4968114,0.5429348,0.024442792,67.8685
0.6156709,0.21829128,0.7894071,0.35063756,0.22337389,69.51835
0.19324017,0.42805803,0.28567636,0.07563394,0.4907717,68.832855
0.40683836,0.73633176,0.6557688,0.39470595,0.56658584,72.07058
0.5557975,0.62232566,0.50177246,0.26791126,0.5036968,73.769394
0.9054589,0.35430044,0.18096286,0.75931793,0.12237507,79.722084
0.31684864,0.88126516,0.42411542,0.86419827,0.33386344,76.62401
0.1298762,0.7690943,0.28460068,0.9547531,0.13724917,73.00582
0.32315433,0.99930894,0.2295233,0.03702581,0.5752918,68.637695
0.97222894,0.74181944,0.81763583,0.24453568,0.36310375,69.318436
0.6128618,0.09800333,0.29974717,0.56853104,0.4701783,75.30282
0.75371975,0.43230224,0.09189415,0.5016982,0.32945675,81.17297
0.7220397,0.31218708,0.466201,0.77867746,0.8434038,74.659195
0.32835972,0.50567544,0.029423892,0.65446216,0.77409965,75.46579
0.8056134,0.48749727,0.82016903,0.7156415,0.8592907,70.745544
0.39946407,0.78863853,0.24112654,0.71941584,0.62054133,79.72653
0.96645665,0.23476046,0.5089841,0.09145683,0.5925012,69.01282
0.27253807,0.6560552,0.200136,0.06728083,0.26835912,70.40521
0.24734288,0.93180585,0.82588565,0.5097871,0.7685324,68.07058
0.37291402,0.4226159,0.8370438,0.5763254,0.80003417,69.77803
0.34100145,0.7908214,0.8474117,0.32237607,0.63501024,68.43652
0.040447056,0.13489646,0.47821623,0.40570658,0.2339806,68.144165
0.21894878,0.7254482,0.41211098,0.9861056,0.23044741,75.449234
0.3206038,0.48078763,0.748653,0.5782714,0.04332924,70.78255
0.7933099,0.8162643,0.6473967,0.16593152,0.21024227,70.49852
0.5449747,0.8107446,0.6466042,0.54124296,0.105546355,73.600266
0.8360219,0.1334086,0.39252687,0.8120516,0.9097344,71.59061
0.7453985,0.4851271,0.2282784,0.9391771,0.6334073,83.81365
0.14301026,0.5539164,0.39248556,0.8070918,0.7293592,72.93309
0.45541644,0.12623125,0.64370203,0.22900856,0.20707256,68.40372
0.018277347,0.97677684,0.6557989,0.2908631,0.022184908,65.99925
0.80582076,0.4084704,0.27012467,0.23363167,0.15492707,73.26282
0.33899128,0.7324332,0.030554295,0.008591592,0.12295866,68.61334
0.023919344,0.93870246,0.7200672,0.9718535,0.8678942,67.18762
0.71782804,0.24766958,0.48882186,0.43962842,0.66790557,73.57413
0.14675933,0.3557418,0.9207401,0.13732934,0.16383904,65.58498
0.7582792,0.67533046,0.43075806,0.44054568,0.2817319,78.844734
0.8617157,0.46006256,0.77455115,0.92365766,0.6328751,73.27609
0.6455435,0.8017945,0.7436207,0.79955584,0.25283426,75.17897
0.605298,0.16708553,0.69935286,0.34590107,0.3530776,70.54873
0.2822644,0.45266294,0.8100866,0.41203815,0.41551948,69.85711
0.3991995,0.614566,0.53267026,0.97351766,0.12571317,76.26946
0.85314095,0.8034869,0.76186496,0.20337433,0.93527883,67.00015
0.14949149,0.74186826,0.83911324,0.5999551,0.013826847,68.03695
0.31284463,0.06790775,0.12485963,0.09983945,0.6693362,67.3446
0.29887313,0.29019988,0.5298967,0.018033981,0.5068964,67.5354
0.0015062094,0.7225072,0.4512818,0.48696327,0.90978837,68.38916
0.51371646,0.18491387,0.3578605,0.8909334,0.44870085,77.82768
0.5292036,0.6700076,0.7175275,0.54620355,0.80948114,71.757706
0.60082823,0.23482949,0.2610556,0.21714282,0.82294726,71.2595
0.91518056,0.7008731,0.09446579,0.70431495,0.5333822,83.72573
0.7118853,0.7749144,0.43378198,0.5966104,0.32591134,81.32845
0.2381205,0.21539772,0.34872144,0.10059041,0.9908109,66.379944
0.2446667,0.027406693,0.9882633,0.6783937,0.6103167,67.15962
0.92386645,0.92245966,0.93380606,0.07141662,0.4651516,66.41986
0.3514619,0.45954973,0.35381985,0.85460025,0.39017272,80.0103
0.34126788,0.08386594,0.051305115,0.21699446,0.65552306,69.30092
0.66225207,0.2740507,0.30025935,0.9752724,0.47831708,80.47756
0.21410578,0.80050117,0.04397577,0.42307276,0.77180856,71.46782
0.6791981,0.9875782,0.43126363,0.2068004,0.677213,70.46178
0.4296459,0.05055636,0.6552156,0.64953184,0.62094116,71.58143
0.41086787,0.92374825,0.6991605,0.42750263,0.7393478,69.844505
0.74792665,0.854069,0.061139345,0.68736124,0.67566615,79.711624
0.50429803,0.17389923,0.7218559,0.19552594,0.4322251,69.15939
0.64600587,0.0030863285,0.37078226,0.91503763,0.46703082,73.79628
0.1970228,0.30591846,0.60566187,0.8592394,0.063209,70.88141
0.6999298,0.40925854,0.82346433,0.2448582,0.0050566792,68.584076
0.35772902,0.33533132,0.7849101,0.91769,0.5136283,71.79994
0.46866155,0.7027549,0.22522974,0.82440495,0.79498255,78.38413
0.2087897,0.55557483,0.949455,0.35786682,0.7634303,66.44577
0.96808785,0.0064436197,0.15802556,0.33357298,0.9003287,67.867455
0.03628409,0.624988,0.058214724,0.17043555,0.7175503,67.53868
0.18078059,0.5356646,0.80825067,0.35699755,0.37487692,69.23528
0.8413846,0.527365,0.5324817,0.5517694,0.22753912,78.02782
0.017310977,0.9710956,0.14679873,0.571562,0.790214,68.78485
0.90504813,0.07257241,0.2040723,0.6789273,0.97538567,70.762474
0.63286793,0.94400144,0.14152259,0.35655344,0.13650167,74.14789
0.041364014,0.71170163,0.28010148,0.5365693,0.35296255,71.590515
0.01786387,0.75174725,0.09145737,0.8128116,0.67715335,71.3107
0.89484787,0.15719539,0.629321,0.7181694,0.28242075,73.35994
0.46955025,0.7359484,0.09511703,0.88922495,0.32003814,83.21234
0.21209008,0.06919533,0.97112083,0.7246936,0.47305727,66.444084
0.31058645,0.31575668,0.53487295,0.0053448677,0.44030803,67.94356
0.2909994,0.7787484,0.59705037,0.76628387,0.4894994,75.32431
0.03158915,0.3116545,0.28728884,0.28914773,0.011292994,67.98197
0.33727324,0.92608935,0.704977,0.3553062,0.55535245,69.75542
0.76143557,0.040827394,0.59284943,0.7266766,0.57962847,72.555466
0.92985827,0.65724593,0.6218212,0.3480407,0.25076264,73.383736
0.12690711,0.5642731,0.78682286,0.32612413,0.34302205,68.35107
0.61815864,0.4744088,0.2173863,0.19445294,0.94994193,70.34571
0.91824174,0.8395842,0.22404706,0.6738067,0.64442736,80.5308
0.4349754,0.25330853,0.5927469,0.4883818,0.6699795,72.30501
0.91675836,0.5550517,0.4398269,0.97022676,0.98254883,72.953896
0.74385536,0.19127548,0.92470413,0.979845,0.32674676,69.38071
0.8523191,0.42154813,0.97969615,0.06365013,0.34074533,66.822495
0.96706104,0.4744807,0.8026526,0.0026438236,0.19160306,67.09288
0.2712778,0.8703136,0.3338043,0.19096291,0.2175616,70.94835
0.9902812,0.10245228,0.09977925,0.08641952,0.31072503,68.285645
0.32237136,0.44985867,0.5751801,0.44055158,0.49008924,73.602135
0.021855354,0.7481268,0.9003741,0.4774654,0.8091385,66.05914
0.999396,0.5012362,0.3582924,0.39052564,0.8363461,72.63969
0.48931652,0.9899766,0.15923917,0.896425,0.73341495,76.254944
0.8546025,0.98179173,0.9306782,0.9242104,0.44968206,70.05762
0.5508807,0.18532014,0.93042785,0.054098785,0.167364,65.4868
0.5134273,0.13731873,0.25665838,0.46436918,0.8209664,72.65541
0.03783083,0.5142471,0.16306937,0.32469296,0.4550103,70.23633
0.83528066,0.65261555,0.72950023,0.05000651,0.5089023,67.93051
0.11789328,0.536577,0.91508657,0.40064,0.8105248,66.535965
0.9053662,0.21735573,0.6251731,0.96711564,0.31461012,73.87071
0.43508077,0.24799865,0.49951547,0.3426019,0.8755546,69.66969
0.8331758,0.9332371,0.9422445,0.10403341,0.27280396,66.58388
0.93779016,0.33330375,0.4736926,0.088554084,0.725823,68.95795
0.6459922,0.2190637,0.049803555,0.933214,0.6479789,77.57736
0.775202,0.9351841,0.034159362,0.21077663,0.786175,70.3156
0.7999963,0.25672698,0.53856874,0.19225776,0.5274047,71.331085
0.35781252,0.8279314,0.79031646,0.87016255,0.4543792,71.86642
0.58719605,0.71706355,0.55015147,0.37853527,0.9263303,71.055046
0.12188095,0.5454536,0.22609144,0.7519263,0.94123363,70.94081
0.23415732,0.3262697,0.55444,0.14960778,0.8338514,67.2773
0.15876746,0.58619183,0.92976844,0.9538321,0.8424899,67.2004
0.28018832,0.014467657,0.26256448,0.7110324,0.83095366,70.70247
0.52173936,0.32134682,0.3213312,0.7461176,0.7073406,79.31084
0.98366046,0.2442593,0.18476611,0.6958327,0.5784595,77.173294
0.9720352,0.052975297,0.5653992,0.9261134,0.5427809,72.68233
0.083794415,0.58554566,0.55353934,0.83349466,0.028024018,70.52431
0.9477558,0.5548206,0.14324743,0.16911578,0.67460275,72.15608
0.8746416,0.4701875,0.8499041,0.7023767,0.34729522,72.637695
0.67269146,0.21423185,0.32540578,0.79529774,0.0024397373,76.30716
0.5848619,0.1961385,0.09608579,0.65350676,0.66901267,76.69937
0.20312822,0.3593573,0.14433545,0.6335356,0.3158012,75.244125
0.61592513,0.9766885,0.6683828,0.5622003,0.4806283,73.35777
0.50066,0.71195054,0.7317035,0.6381267,0.4559682,74.41249
0.716232,0.23957092,0.7197652,0.84773517,0.44875824,73.783005
0.7773718,0.40500546,0.7309308,0.92017955,0.3631379,75.003586
0.57950157,0.7288287,0.06345761,0.23525381,0.09177333,73.021484
0.10158706,0.62715167,0.94349724,0.3050905,0.99624944,64.61284
0.61298794,0.50496125,0.66028523,0.45436352,0.019328594,72.71341
0.5331223,0.7669382,0.2407915,0.44154322,0.44336313,78.99298
0.12490225,0.09721738,0.46065134,0.92747104,0.37704718,70.21908
0.7008721,0.1058262,0.6369919,0.071974516,0.06596273,67.67787
0.92251855,0.59507006,0.4095422,0.011019409,0.8109767,68.504036
0.29829276,0.44975126,0.6554837,0.7443295,0.05640638,72.98215
0.13507026,0.07135755,0.14627755,0.8503614,0.18908441,70.339676
0.71914005,0.23235875,0.4190457,0.39175904,0.6473226,74.033005
0.06830919,0.6011714,0.4906665,0.88226736,0.82776,70.36783
0.76956964,0.923726,0.5752321,0.47048026,0.026229322,72.34505
0.63182366,0.13121456,0.92590714,0.95058227,0.7239271,68.313126
0.35920066,0.32396156,0.47979504,0.50858754,0.36540586,75.293
0.39140934,0.038718462,0.9792733,0.11116922,0.3776958,64.618454
0.19039893,0.2609195,0.050316095,0.36807907,0.41750318,71.50511
0.2810818,0.54825294,0.5010129,0.87658286,0.11237019,74.66194
0.44490308,0.27741027,0.6807243,0.22264391,0.54849297,69.450424
0.8457009,0.81531876,0.0982824,0.42724085,0.01755935,74.73468
0.14229357,0.3427248,0.85946846,0.17281479,0.54795927,65.78242
0.1267333,0.9687639,0.42382056,0.4646228,0.91932166,69.004364
0.24938184,0.5818026,0.8439958,0.29387826,0.7486194,67.3071
0.1896013,0.6509977,0.97160363,0.70601934,0.68363184,67.84901
0.5649571,0.3896327,0.25897884,0.14108479,0.020320833,70.4353
0.031055033,0.7284308,0.42936057,0.24019974,0.15304399,68.38821
0.22095722,0.8307358,0.9733114,0.28232718,0.34314364,66.58056
0.24802452,0.040270984,0.8075923,0.9227794,0.87943333,67.00673
0.05347562,0.051947534,0.84800214,0.4704423,0.6506044,66.28723
0.6909925,0.9590628,0.62348217,0.17040294,0.62953246,69.22666
0.35421085,0.9864265,0.77071553,0.1295743,0.6236671,66.74196
0.54988354,0.19703525,0.73021257,0.18569517,0.26224697,68.53233
0.57370925,0.74807733,0.60892344,0.20816177,0.6669157,70.6873
0.18499213,0.88333565,0.5900231,0.6421064,0.42460996,72.47095
0.45990658,0.4646274,0.2061212,0.36768502,0.623585,75.90823
0.32731265,0.54607654,0.84830767,0.9360859,0.28068614,71.27141
0.058634818,0.7731363,0.28197914,0.7426415,0.51784414,73.319214
0.80324894,0.52148277,0.95723784,0.9567731,0.79058677,69.33745
0.1464721,0.3668446,0.7855873,0.065134585,0.63625723,66.04184
0.60979897,0.36041212,0.4254886,0.6761456,0.100218,78.911476
0.41879922,0.27320206,0.14899272,0.69618464,0.8763771,73.28386
0.8978412,0.67690575,0.44966573,0.54615194,0.71245074,76.66403
0.4581493,0.5176909,0.025665998,0.042302072,0.56952053,70.050385
0.57535344,0.10583907,0.09347296,0.73278344,0.44824594,76.60458
0.5862053,0.8560748,0.5743389,0.152803,0.6082258,70.16048
0.5065177,0.057753205,0.52016157,0.09460604,0.23993659,67.658646
0.1545611,0.7576189,0.66374207,0.77687526,0.16981012,71.46086
0.36661494,0.0296579,0.06458068,0.06669706,0.43489182,67.86004
0.064296484,0.23334849,0.907341,0.796399,0.242167,67.951035
0.020574093,0.07085562,0.9586369,0.14912409,0.22418785,63.837822
0.95304704,0.83189416,0.7248573,0.74672073,0.37577784,74.14602
0.46212673,0.20644891,0.69079804,0.08349091,0.6841166,67.38737
0.049072504,0.30447865,0.9366717,0.69131213,0.45414084,66.88799
0.586409,0.723489,0.52003795,0.6221988,0.013106406,75.947235
0.35906756,0.038877845,0.64981365,0.8612328,0.91195965,68.35557
0.40627652,0.052181304,0.6168972,0.7700489,0.85164225,69.61005
0.4959429,0.6747916,0.08382952,0.28636253,0.17818028,74.515976
0.43972468,0.92211044,0.60635626,0.520573,0.72364014,71.776825
0.323219,0.19375408,0.06253505,0.8935015,0.56856096,74.45825
0.58672255,0.7642001,0.6385717,0.45018154,0.49645907,74.495735
0.38450104,0.67115647,0.60134864,0.36467314,0.058389127,71.404076
0.94598985,0.6890721,0.6151253,0.9390812,0.86801463,72.713974
0.16795641,0.24622959,0.20033705,0.5659712,0.7872901,70.7059
0.17711413,0.73739016,0.66812867,0.2506662,0.075815916,67.97954
0.03324163,0.9580353,0.43037623,0.280591,0.41388077,68.17555
0.85524374,0.40254235,0.33520174,0.6272689,0.38747287,82.43422
0.40329581,0.2045747,0.85067636,0.5339369,0.24034995,69.49377
0.48990834,0.6756168,0.6180855,0.52186805,0.5428636,75.61884
0.15378076,0.033194065,0.91754,0.93280506,0.6024671,65.99678
0.27742422,0.39791018,0.92728007,0.64728475,0.8049952,68.29715
0.14438057,0.41833544,0.062167227,0.8626759,0.18241477,74.30047
0.6206808,0.2330997,0.6301744,0.46160966,0.43217498,74.130005
0.79093647,0.92668045,0.038574934,0.6158255,0.95773256,72.948906
0.99652755,0.27981704,0.32010657,0.30925673,0.20750123,72.71188
0.6911691,0.7441235,0.77719414,0.6453748,0.67564946,73.69385
0.31648672,0.69424677,0.5163251,0.82478786,0.349998,77.075134
0.5148034,0.2259453,0.21103477,0.2561949,0.60781586,72.46828
0.70331466,0.10463941,0.09081358,0.29897135,0.20683426,71.55714
0.6728396,0.9351396,0.9826326,0.8414708,0.6856051,69.01393
0.10062766,0.42464483,0.5952639,0.98349255,0.4096262,71.63747
0.78375024,0.79810077,0.07419902,0.16898227,0.7629392,71.225464
0.9484603,0.054940045,0.88511884,0.46617126,0.0180735,67.06759
0.15253794,0.5585778,0.7430191,0.41426444,0.86119664,67.97797
0.42368317,0.46470535,0.7651251,0.4358883,0.2443682,71.633575
0.916283,0.5800532,0.47094,0.036273777,0.017707407,68.88109
0.20888984,0.88797593,0.8884083,0.74654514,0.45718724,68.978714
0.82373863,0.29454374,0.19440752,0.93663716,0.70512944,78.99968
0.24186623,0.5899204,0.6781905,0.3325426,0.27354628,70.2732
0.93343234,0.87923545,0.46345788,0.43226326,0.79040414,72.71498
0.11721283,0.21081585,0.9425317,0.2340405,0.6628375,64.97235
0.31127077,0.0457232,0.26134378,0.0008431077,0.5189804,67.42792
0.52789426,0.8825223,0.37310827,0.53616,0.92772925,72.377426
0.011098444,0.18078369,0.37109816,0.99995404,0.98946124,66.63807
0.52371955,0.6514865,0.74291056,0.77262515,0.95900166,70.76814
0.96271724,0.80012405,0.6928594,0.24155045,0.5777638,69.84668
0.2263211,0.12687272,0.48437524,0.6606268,0.33777863,71.36516
0.7005326,0.05213523,0.35900146,0.88381803,0.12843513,74.79281
0.5768752,0.66929317,0.9035796,0.0600605,0.55302584,67.698395
0.40740383,0.78756195,0.32657003,0.3015831,0.18213844,73.628876
0.59789073,0.61531633,0.6738405,0.8070092,0.6607387,75.6465
0.5319202,0.080221355,0.2294721,0.3600604,0.11806047,71.46515
0.40269065,0.1383518,0.22406894,0.08982992,0.5558539,69.124405
0.15247118,0.07409108,0.5712338,0.061474025,0.6164829,66.43132
0.2050848,0.84074396,0.39496833,0.21173596,0.6938465,69.11656
0.6724782,0.53193915,0.6674891,0.46382105,0.4332826,75.93924
0.2698059,0.29816294,0.3505113,0.25350457,0.5622972,71.67
0.4087366,0.94454956,0.2767166,0.54900634,0.4906969,76.484924
0.5929297,0.8973668,0.39052892,0.058068097,0.67934835,69.212166
0.8946994,0.26490867,0.5110198,0.6660174,0.09752524,75.120926
0.021876276,0.56178695,0.39204705,0.15121269,0.4488331,67.83234
0.7998551,0.60717195,0.50371933,0.14157385,0.8430814,69.56529
0.4717101,0.32439548,0.49404937,0.5974898,0.066925764,74.662
0.025334,0.86803484,0.6796449,0.5980262,0.5008747,68.92354
0.77405304,0.21941656,0.656198,0.045455992,0.36634338,67.98435
0.17264646,0.8819659,0.6759181,0.81237423,0.38892537,70.94273
0.9254029,0.41487437,0.58532363,0.97543764,0.7168339,74.56508
0.9044305,0.33133155,0.13320285,0.42941803,0.5629614,76.70859
0.2540003,0.06429154,0.43371856,0.53112495,0.99153924,67.39865
0.5848754,0.7697886,0.8616857,0.6172178,0.6053852,71.63713
0.711579,0.9635232,0.51571864,0.1580447,0.043670595,69.35691
0.31566554,0.9727802,0.18245846,0.28114176,0.18097693,71.08603
0.08881217,0.57994103,0.6913415,0.51018304,0.318776,69.92162
0.16344321,0.20013851,0.46208966,0.8322704,0.48618037,72.19125
0.33042222,0.8999532,0.55555886,0.9134639,0.527654,74.578514
0.9919978,0.5962062,0.412188,0.2671489,0.023831189,71.52658
0.25268358,0.026496708,0.47688627,0.81200725,0.53033096,70.87193
0.4983551,0.6783603,0.47122526,0.77880394,0.40290993,82.26241
0.034729302,0.89840996,0.68507695,0.34012955,0.93629587,66.234665
0.43014497,0.1753509,0.7813161,0.3664083,0.055196226,68.82448
0.9149613,0.8152835,0.0638662,0.91017956,0.527808,81.57086
0.45193398,0.8317989,0.34848475,0.40743756,0.13085687,75.16784
0.6266668,0.89223725,0.041998506,0.83531743,0.4632789,82.356804
0.3745854,0.97002137,0.45323253,0.23913097,0.8113485,68.8593
0.7229405,0.8973927,0.49649733,0.5283292,0.8686992,72.8934
0.61676824,0.38160086,0.8216948,0.7240249,0.16646749,72.15352
0.40269685,0.35843283,0.4544351,0.44029486,0.22834104,74.697296
0.60192156,0.0893929,0.9023168,0.1414938,0.13726866,65.879166
0.86876214,0.19845444,0.9240852,0.5733579,0.5268094,69.04106
0.4353907,0.58977693,0.7433114,0.2181223,0.18255937,69.68501
0.569959,0.862747,0.5829014,0.5876683,0.752237,73.759
0.1857366,0.6323862,0.68192583,0.23285174,0.7040854,68.65068
0.7971695,0.3724398,0.90366155,0.8243422,0.6209508,71.23576
0.44554538,0.94467103,0.14396971,0.76910853,0.2504592,79.08429
0.2972715,0.79897434,0.9621589,0.19230509,0.3408503,67.065094
0.10535234,0.9830249,0.6793227,0.9000893,0.14027739,68.51387
0.90722674,0.50017023,0.42605036,0.5211643,0.55576515,78.94259
0.23445117,0.12976581,0.21387863,0.8636537,0.76819533,71.379456
0.5904219,0.111121655,0.16757846,0.33098495,0.8254567,70.79265
0.22848856,0.03142917,0.7574738,0.39539158,0.99424285,65.0285
0.51966906,0.29536664,0.8501822,0.21764523,0.12268412,68.656845
0.9374209,0.8410001,0.27301538,0.46762627,0.3954876,78.41629
0.34655982,0.92313015,0.16372323,0.05169654,0.38425052,68.65349
0.87813777,0.31701738,0.0809983,0.6497048,0.27389973,81.01228
0.3465919,0.7760071,0.89234066,0.96653825,0.2674703,69.80138
0.80187553,0.6703325,0.18471456,0.3604867,0.7141481,75.60402
0.2601894,0.46768105,0.5892497,0.44118738,0.9127359,69.28612
0.8162989,0.016033292,0.12540907,0.037854552,0.095523655,67.74248
0.0145148635,0.93939114,0.087047875,0.24613273,0.9030012,66.36499
0.88248366,0.65377074,0.025703251,0.11019474,0.31242782,71.926605
0.054033756,0.92272455,0.74387664,0.72087383,0.60013306,68.218994
0.33412445,0.67114174,0.38303906,0.57684815,0.23197502,77.493286
0.038981974,0.07757491,0.76860696,0.4987833,0.3672982,66.99217
0.87370545,0.3133617,0.8256362,0.91815203,0.84564984,69.45857
0.09162825,0.2766359,0.7556694,0.78913367,0.50683683,68.88657
0.58496016,0.17062414,0.07878637,0.1175797,0.45508945,70.58325
0.40179735,0.88035625,0.068255424,0.081124365,0.31846827,69.74277
0.24546933,0.6687139,0.312257,0.49767077,0.28802097,75.75827
0.2286827,0.4153852,0.8575745,0.4117453,0.13193643,68.00308
0.2955039,0.097828805,0.7480949,0.6446715,0.70723504,69.11682
0.7069507,0.7478539,0.8324957,0.4644208,0.49415147,72.48743
0.32090402,0.02846545,0.16597724,0.6437807,0.028598666,70.8957
0.38841885,0.39969504,0.6062103,0.05409348,0.8563273,66.87738
0.3494125,0.030533195,0.7160634,0.3373229,0.14789653,67.50287
0.4572667,0.028100133,0.60935146,0.21048445,0.38946676,68.046295
0.93044853,0.80336696,0.11552125,0.18995416,0.83636475,70.27223
0.08649784,0.43303746,0.20146292,0.33082676,0.17689872,70.16896
0.68582773,0.033215165,0.012127519,0.74472934,0.4924177,74.74124
0.24559832,0.0023090243,0.51820403,0.32608944,0.05329585,67.05104
0.47928494,0.87362105,0.55044866,0.43308127,0.29109263,74.24336
0.81198895,0.9786497,0.113203645,0.5182811,0.04947096,74.466156
0.91727495,0.3232348,0.65073365,0.6197577,0.9948149,70.28241
0.5279784,0.006821573,0.8094509,0.6976941,0.09562111,68.535
0.87703747,0.06602794,0.1647327,0.3465979,0.21764845,72.0099
0.06014818,0.3600136,0.4436041,0.55231446,0.73775285,71.35387
0.67694616,0.57625496,0.29103452,0.8591311,0.052042544,82.00023
0.005679071,0.61377114,0.22828919,0.97359294,0.52642334,72.10539
0.25044322,0.32459486,0.30838805,0.17369592,0.9718102,67.25518
0.7044661,0.43952686,0.88043374,0.3247503,0.28152627,69.775375
0.73974764,0.48467702,0.7828579,0.45449734,0.058918178,71.407326
0.1958592,0.9321285,0.12813175,0.78890336,0.69189745,72.75606
0.85894203,0.14723134,0.763229,0.20529145,0.7032653,67.54784
0.63455266,0.8552059,0.56156516,0.104046166,0.58024603,70.261826
0.66730136,0.65256745,0.11457592,0.64325356,0.46312034,88.744736
0.09823763,0.31883794,0.14173758,0.3168608,0.33101022,70.499344
